airline,airline ID, source airport, source airport id, destination apirport, destination airport id, codeshare, stops, equipment
2B,410,DME,4029,KZN,2990,,0,CR2
2B,410,DME,4029,NBC,6969,,0,CR2
2B,410,DME,4029,TGK,\N,,0,CR2
2B,410,DME,4029,UUA,6160,,0,CR2
2B,410,EGO,6156,KGD,2952,,0,CR2
2B,410,EGO,6156,KZN,2990,,0,CR2
2B,410,TGK,\N,DME,4029,,0,CR2
2B,410,UUA,6160,DME,4029,,0,CR2
2B,410,UUA,6160,LED,2948,,0,CR2
2B,410,UUA,6160,NJC,2972,,0,CR2
2G,1654,BTK,2936,IKT,2937,,0,A81
2G,1654,BTK,2936,OVB,4078,,0,A81
2G,1654,CEK,2968,OVB,4078,,0,A81
2G,1654,HTA,2935,IKT,2937,,0,AN4
2G,1654,IKT,2937,BTK,2936,,0,A81
2G,1654,IKT,2937,HTA,2935,,0,AN4
2G,1654,IKT,2937,KCK,\N,,0,AN4
2G,1654,IKT,2937,ODO,8944,,0,AN4
2G,1654,IKT,2937,OVB,4078,,0,A81
2G,1654,IKT,2937,UKX,6924,,0,AN4
2G,1654,IKT,2937,ULK,9026,,0,AN4
2G,1654,IKT,2937,YKS,2923,,0,A81
